Darwin_Corpo,Darwin_Tenis,Darwin_Boca,Gumball_Corpo,Gumball_Camisa,Gumball_Gola,Classe
110141,0,0,14,0,829,Darwin
10,0,0,0,0,971,Gumball
59863,0,0,0,0,2774,Darwin
1062,0,0,0,0,639,Darwin
136986,0,5,0,0,1154,Darwin
68598,0,0,0,0,515,Darwin
0,0,0,98,0,1420,Gumball
123172,0,18,0,15,799,Darwin
78,0,0,0,2472,575,Gumball
0,0,0,0,16,11929,Gumball
5400,0,0,0,0,18900,Gumball
6,0,0,0,0,1861,Gumball
301,0,0,9,0,13095,Gumball
0,0,0,7,0,9671,Gumball
3713,0,0,0,0,895,Darwin
0,0,20,0,0,5,Darwin
11920,0,0,0,0,29390,Gumball
11206,0,0,0,0,548,Darwin
1,0,0,0,0,900,Gumball
43487,0,0,0,0,2369,Darwin
103,0,0,0,1,27,Darwin
681,0,0,0,0,164,Darwin
7,0,11,0,0,1343,Gumball
100,0,0,0,0,18283,Gumball
0,0,0,0,0,24285,Gumball
3,0,0,0,0,23713,Gumball
19178,0,0,0,0,528,Darwin
39898,0,1,0,10,236,Darwin
0,133,0,10,0,53,Darwin
7,0,0,0,11998,2006,Gumball
0,123,0,1,1,1121,Gumball
0,0,0,0,0,5461,Gumball
346,0,0,0,2,3398,Gumball
0,0,0,5,0,3386,Gumball
0,0,0,0,0,765,Gumball
2676,0,0,0,24909,100,Gumball
59285,0,0,6,0,449,Darwin
10,29,0,0,0,110,Gumball
371,0,0,0,0,2226,Gumball
0,0,0,0,0,729,Gumball
65,0,0,0,0,801,Gumball
109444,0,0,14,5,2664,Darwin
770,12,0,0,23,1646,Gumball
0,0,0,0,143,1433,Gumball
0,0,0,0,0,939,Gumball
0,0,0,1,0,1625,Gumball
2575,0,0,0,0,1289,Darwin
0,0,0,0,0,743,Gumball
0,0,0,2,0,805,Gumball
0,0,0,1,0,81,Gumball
0,0,0,1,0,63,Gumball
0,0,0,1,0,103,Gumball
0,0,0,3,0,74,Gumball
0,0,0,0,0,13085,Gumball
66751,0,736,0,0,408,Darwin
1171,0,0,0,3,515,Darwin
88,0,0,0,1,1189,Gumball
11,0,0,0,42,718,Gumball
3119,0,0,0,14,6954,Gumball
0,0,0,0,336,4600,Gumball
0,0,0,0,0,50,Gumball
0,0,0,0,0,1880,Gumball
0,0,0,1268,0,21,Gumball
0,0,0,94214,4,1764,Gumball
0,0,0,0,0,1545,Gumball
0,0,0,0,0,3180,Gumball
0,0,0,201,0,3608,Gumball
0,0,0,0,0,3160,Gumball
0,0,0,0,0,671,Gumball
0,0,0,25,0,1108,Gumball
0,0,0,0,0,11,Gumball
180,0,0,695,22,7608,Gumball
0,9,0,0,10,132,Gumball
0,0,0,2470,0,3565,Gumball
0,0,10,1272,0,4205,Gumball
0,0,0,449,0,0,Gumball
0,0,0,48,1826,2955,Gumball
0,0,0,1,0,4285,Gumball
0,0,0,6071,0,4062,Gumball
0,0,0,0,0,0,Darwin
0,0,0,14,0,2866,Gumball
0,0,0,0,0,0,Darwin
0,0,0,0,0,6,Gumball
0,0,0,3350,0,3971,Gumball
0,0,0,8024,0,30,Gumball
0,0,0,0,0,80,Gumball
0,0,0,677,0,724,Gumball
0,0,0,196,3,18605,Gumball
0,0,3,22692,0,7736,Gumball
0,0,0,0,0,128,Gumball
0,0,0,22460,86,304,Gumball
0,0,0,459,0,4325,Gumball
0,0,0,0,50,275,Gumball
0,0,0,77,1,9217,Gumball
0,0,0,182,86,514,Gumball
0,0,0,277,1,1586,Gumball
0,0,0,0,0,475,Gumball
0,0,0,346,0,4478,Gumball
0,0,0,29,0,6446,Gumball
0,0,0,1,3,202,Gumball
0,0,0,22,3,2044,Gumball
0,0,0,846,1,12129,Gumball
0,0,8,7,0,582,Gumball
0,0,0,68,1,11858,Gumball
0,0,0,0,0,39,Gumball
256,0,0,339160,0,5246,Gumball
0,0,0,0,0,487,Gumball
0,0,0,27003,4,1439,Gumball
0,0,0,117741,0,3424,Gumball
0,0,0,66,0,60,Gumball
0,0,0,37188,0,1537,Gumball
0,0,0,50562,0,54,Gumball
0,0,5,23985,0,188,Gumball
31,0,0,3316,0,877,Gumball
0,0,0,0,0,768,Gumball
0,0,0,0,0,1393,Gumball
0,0,0,3216,0,56,Gumball
0,0,182,4539,1,597,Gumball
0,0,0,15,0,2,Gumball
95,92,0,0,1,3198,Gumball
0,0,0,14254,0,579,Gumball
412,0,0,3330,0,7,Gumball
0,0,0,2264,0,51,Gumball
0,0,0,228943,0,3404,Gumball
4,0,0,4194,0,6062,Gumball
0,0,0,4058,0,87,Gumball
0,0,0,349,49,66,Gumball
0,0,0,0,0,0,Darwin
0,0,0,420,0,6,Gumball
0,0,0,39866,1219,1960,Gumball
0,0,0,0,0,1207,Gumball
0,0,0,0,0,581,Gumball
0,0,0,28,0,8049,Gumball
0,0,0,1,0,297,Gumball
0,0,0,0,0,784,Gumball
0,0,0,788,0,21,Gumball
0,0,0,13703,0,0,Gumball
0,0,0,259,66,667,Gumball
0,0,0,66,73,0,Gumball
61,0,0,2791,28,2048,Gumball
0,0,0,0,0,20,Gumball
26,0,0,0,0,16153,Gumball
0,0,3,142,0,248,Gumball
0,0,0,0,9,349,Gumball
0,0,0,41,0,343,Gumball
0,0,0,0,0,1448,Gumball
1,0,0,359,0,4071,Gumball
0,0,0,46,0,1202,Gumball
0,0,0,35,0,8961,Gumball
0,0,0,72,0,3324,Gumball
0,0,0,72,0,9226,Gumball
0,0,0,149,0,5089,Gumball
0,0,0,17,0,5373,Gumball
0,0,0,0,0,321,Gumball
0,0,0,0,1,2170,Gumball
0,0,0,0,0,21,Gumball
0,0,0,23,0,428,Gumball
0,0,0,983,0,31,Gumball
0,0,0,0,0,206,Gumball
0,0,0,15,0,837,Gumball
0,0,0,0,0,0,Darwin
0,0,0,64,1,10336,Gumball
3,0,0,72,0,81,Gumball
0,0,3,32,0,575,Gumball
0,0,0,0,0,28,Gumball
0,0,0,30020,0,4385,Gumball
0,0,0,18169,1,41,Gumball
0,0,0,0,0,0,Darwin
0,0,0,33,1,11265,Gumball
0,0,0,17,0,2802,Gumball
0,0,0,21,0,2790,Gumball
0,0,0,0,0,324,Gumball
0,0,0,0,0,191,Gumball
0,0,0,0,19,28,Gumball
0,0,0,26,38,128,Gumball
0,0,0,981,0,33,Gumball
0,0,0,0,0,18,Gumball
8,0,16,131,0,460,Gumball
0,0,0,0,0,0,Darwin
0,0,0,0,0,3114,Gumball
0,0,0,0,0,105,Gumball
0,0,0,0,0,35,Gumball
0,0,0,0,0,10911,Gumball
0,0,0,2,0,33,Gumball
0,0,0,4446,5,14,Gumball
2,0,0,123,77,198,Gumball
0,0,0,0,1,26,Gumball
0,0,0,91,0,16,Gumball
0,0,0,17,0,2931,Gumball
8,0,0,0,0,3870,Gumball
0,0,0,0,0,674,Gumball
0,0,0,1,2,302,Gumball
0,0,0,0,0,227,Gumball
0,0,0,0,0,411,Gumball
0,0,0,0,0,124,Gumball
0,0,0,57,0,38,Gumball
0,0,0,0,0,119,Gumball
0,84,0,0,0,12,Darwin
0,0,0,189,8,49,Gumball
0,0,0,83,742,550,Gumball
0,1,0,0,0,546,Gumball
0,0,0,0,0,0,Darwin
0,0,0,5,35,3687,Gumball
0,0,363,0,0,1892,Gumball
0,0,0,0,0,1874,Gumball
0,0,0,0,0,147,Gumball
0,0,0,200,1,14728,Gumball
0,0,0,0,0,124,Gumball
0,0,0,0,0,410,Gumball
0,0,0,632,0,26,Gumball
0,0,0,2,9,102,Gumball
0,0,0,0,0,899,Gumball
0,3,0,0,0,1642,Gumball
0,0,0,0,2,12901,Gumball
0,0,0,81,4361,1656,Gumball
0,0,0,0,4,36,Gumball
0,0,0,0,8,1153,Gumball
0,0,0,0,1,205,Gumball
0,0,0,24,1,1150,Gumball
0,0,0,30,0,197,Gumball
0,0,0,417,1,4,Gumball
0,0,0,1,0,0,Gumball
39,0,0,616,3,11735,Gumball
0,0,0,903,0,5198,Gumball
0,0,0,112,1,2064,Gumball
0,0,0,120,2,51,Gumball
0,0,0,0,1633,1071,Gumball
0,0,0,56,0,850,Gumball
0,0,0,19023,0,215,Gumball
0,0,0,688,0,21292,Gumball
0,0,0,0,0,11955,Gumball
0,0,0,136,0,1980,Gumball
0,0,0,57,0,7417,Gumball
0,0,0,0,118,5802,Gumball
0,0,0,0,45,16737,Gumball
0,0,0,0,0,0,Darwin
0,0,0,7973,0,279,Gumball
0,0,0,0,0,2695,Gumball
0,0,0,436,24,4046,Gumball
0,0,0,483,38,4452,Gumball
0,0,0,0,0,4627,Gumball
0,0,0,3,0,80,Gumball
0,0,0,23,0,7109,Gumball
2,0,0,2807,3479,2722,Gumball
0,0,0,601,3024,5196,Gumball
75,256,0,153,37,2480,Gumball
0,0,0,131,403,13812,Gumball
0,0,0,1151,0,9125,Gumball
0,0,0,740,0,1208,Gumball
0,0,0,2221,0,1731,Gumball
0,0,0,0,0,1331,Gumball
0,0,0,0,0,91,Gumball
0,3,0,1493,0,1850,Gumball
0,0,0,3605,0,20,Gumball
0,0,0,2573,0,838,Gumball
0,0,0,6818,0,2709,Gumball
17,0,0,209,1,326,Gumball
0,0,0,4,0,113,Gumball
0,0,0,0,0,3568,Gumball
0,0,0,17,0,23548,Gumball
0,0,0,1,13,332,Gumball
0,0,0,9,201,60,Gumball
0,0,0,305,36,287,Gumball
0,0,0,605,29,492,Gumball
0,0,0,37378,0,18,Gumball
0,0,0,0,647,357,Gumball
0,0,0,31990,0,1739,Gumball
0,0,0,15,0,0,Gumball
0,0,0,22269,0,94,Gumball
0,0,0,0,0,10809,Gumball
0,0,0,0,0,1,Gumball
0,0,0,0,0,845,Gumball
0,0,0,29,0,748,Gumball
0,0,0,9,0,13174,Gumball
0,0,0,7,0,1467,Gumball
0,0,0,0,0,47,Gumball
0,0,0,7,0,2563,Gumball
0,0,0,0,0,321,Gumball
0,0,0,0,0,129,Gumball
0,0,0,0,0,0,Darwin
5,79,0,5326,202,3058,Gumball
0,0,0,0,0,547,Gumball
0,0,0,0,0,0,Darwin
0,0,0,6050,0,602,Gumball
0,0,0,2078,0,3122,Gumball
1,0,0,1292,0,884,Gumball
0,0,0,1,0,2782,Gumball
0,0,0,436,0,8351,Gumball
0,0,0,0,0,3752,Gumball
0,0,0,0,0,223,Gumball
0,0,0,1729,0,5583,Gumball
0,27,0,2,0,240,Gumball
0,0,0,437,1324,617,Gumball
0,0,0,127,2183,29,Gumball
0,0,0,0,170,59,Gumball
0,0,0,0,109,164,Gumball
0,0,0,0,0,0,Darwin
8,0,0,100,181,2201,Gumball
0,8,0,108,196,569,Gumball
0,0,0,291,0,14,Gumball
0,0,0,0,0,0,Darwin
0,0,0,0,0,0,Darwin
0,0,0,0,0,0,Darwin
13,0,0,37,0,3474,Gumball
0,0,0,3,152,2953,Gumball
0,0,0,0,0,2298,Gumball
0,0,0,0,0,2503,Gumball
0,0,0,0,0,2436,Gumball
0,0,0,0,0,1609,Gumball
0,0,0,109,413,6,Gumball
0,0,0,65,118,168,Gumball
0,0,0,0,122,3,Gumball
0,0,0,0,552,83,Gumball
0,0,0,0,0,1536,Gumball
0,0,0,152,0,1260,Gumball
20,0,0,0,68,1852,Gumball
0,0,0,0,0,225,Gumball
0,0,0,0,0,2007,Gumball
0,0,0,0,0,3601,Gumball
0,0,0,0,0,4398,Gumball
0,0,0,0,0,1653,Gumball
0,0,0,2,0,9,Gumball
0,0,0,4,0,4639,Gumball
